"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","entrez","name"
"ENSG00000117519",4483.62709360346,-2.42271923981601,0.0600016218983003,-40.3775625252663,0,0,"CNN3","1266","calponin 3"
"ENSG00000183508",2053.88135557663,3.20195534795427,0.0724172014757439,44.21539748435,0,0,"TENT5C","54855","terminal nucleotidyltransferase 5C"
"ENSG00000159176",5692.46278267679,-2.31373756503588,0.0575533663106387,-40.201602675119,0,0,"CSRP1","1465","cysteine and glycine rich protein 1"
"ENSG00000150938",7442.98631416393,-2.05963137024161,0.0538449075112189,-38.2511822462036,0,0,"CRIM1","51232","cysteine rich transmembrane BMP regulator 1"
"ENSG00000116016",4423.94665216876,-1.8880193725334,0.0431679917758865,-43.7365579185466,0,0,"EPAS1","2034","endothelial PAS domain protein 1"
"ENSG00000136068",3796.1265394147,-1.64979200672636,0.0439354370533515,-37.5503720316471,0,0,"FLNB","2317","filamin B"
"ENSG00000164251",2348.7701339719,3.3445083321361,0.0690717572655299,48.420779556526,0,0,"F2RL1","2150","F2R like trypsin receptor 1"
"ENSG00000124766",2576.65254960143,2.39228794576996,0.0617086151812971,38.767487144891,0,0,"SOX4","6659","SRY-box transcription factor 4"
"ENSG00000124762",28106.1191885778,1.83225777686374,0.0388966414279802,47.1058093860442,0,0,"CDKN1A","1026","cyclin dependent kinase inhibitor 1A"
"ENSG00000106366",43719.1260988373,-1.84404649934342,0.0419164996608911,-43.9933323216859,0,0,"SERPINE1","5054","serpin family E member 1"
"ENSG00000188153",2944.12640623352,2.26608046261254,0.0552681287921947,41.0015774395562,0,0,"COL4A5","1287","collagen type IV alpha 5 chain"
"ENSG00000122861",28007.1433373973,2.26252546550257,0.0552183311595117,40.9741732137234,0,0,"PLAU","5328","plasminogen activator, urokinase"
"ENSG00000148773",1840.19727265675,-3.19605832567065,0.0757850351652678,-42.1726838115317,0,0,"MKI67","4288","marker of proliferation Ki-67"
"ENSG00000059804",3443.39680712992,2.07976295761977,0.0543254349135824,38.2834110933143,0,0,"SLC2A3","6515","solute carrier family 2 member 3"
"ENSG00000123416",4420.07398793879,-1.93841810360098,0.050576863046111,-38.3261828997525,0,0,"TUBA1B","10376","tubulin alpha 1b"
"ENSG00000139289",12942.9106281238,2.03736205042695,0.0462973434178506,44.0060249686252,0,0,"PHLDA1","22822","pleckstrin homology like domain family A member 1"
"ENSG00000125257",6050.78726438958,1.95054949491349,0.0435953844406028,44.7421102013918,0,0,"ABCC4","10257","ATP binding cassette subfamily C member 4"
"ENSG00000211448",1884.75741158654,2.52372169452889,0.0653981298931694,38.5901202167629,0,0,"DIO2","1734","iodothyronine deiodinase 2"
"ENSG00000128917",1307.34250385583,3.8582531145741,0.086518543207515,44.5945224172356,0,0,"DLL4","54567","delta like canonical Notch ligand 4"
"ENSG00000138623",2851.61916336974,-2.40668774845908,0.0581377318678327,-41.3963130507107,0,0,"SEMA7A","8482","semaphorin 7A (John Milton Hagen blood group)"
"ENSG00000131747",1743.84285765667,-2.92418912756521,0.0696221034544494,-42.0008730342135,0,0,"TOP2A","7153","DNA topoisomerase II alpha"
"ENSG00000167601",8245.06804500101,-2.14234576630771,0.0404435485638415,-52.9712609892762,0,0,"AXL","558","AXL receptor tyrosine kinase"
"ENSG00000198743",1999.10327890814,2.53453041313559,0.0670975518000981,37.7738135764871,0,0,"SLC5A3","6526","solute carrier family 5 member 3"
"ENSG00000074800",18390.4756149844,-1.33893117834408,0.0358590275895801,-37.3387475440953,3.86082290778328e-305,2.37344088255977e-302,"ENO1","2023","enolase 1"
"ENSG00000181104",14922.5173336984,1.66815955567936,0.0447581299294301,37.2705374042556,4.92673245730513e-304,2.90756042700319e-301,"F2R","2149","coagulation factor II thrombin receptor"
"ENSG00000115963",13232.3301349766,1.80533073536896,0.0488625142075188,36.947151914896,8.09231108264897e-299,4.59207529666934e-296,"RND3","390","Rho family GTPase 3"
"ENSG00000104368",13214.4968037918,2.02763709005456,0.0550460855246632,36.8352639561642,5.03520683658104e-297,2.7514608024784e-294,"PLAT","5327","plasminogen activator, tissue type"
"ENSG00000157680",1359.0634938634,2.54493702368437,0.0693613893225758,36.6909753183972,1.01726618397042e-294,5.36026617082129e-292,"DGKI","9162","diacylglycerol kinase iota"
"ENSG00000074416",2392.80973934457,-2.14808670764645,0.0589063480898123,-36.4661327225946,3.8187314344925e-291,1.94281253739663e-288,"MGLL","11343","monoglyceride lipase"
"ENSG00000104081",804.838487338129,4.43413656938238,0.121636384406059,36.4540313413123,5.93856217921668e-291,2.92058487973876e-288,"BMF","90427","Bcl2 modifying factor"
